CaseID,weight,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_Refused,Q19,Q20,Q21,Q22,Q24,Q26,Q27,Q28,Q28_Refused,Q29_a,Q29_b,Q29_c,Q29_d,Q29_e,Q29_f,Q29_g,Q30,Q30_Refused,Q31,Q32_a,Q32_b,Q32_c,Q32_d,Q32_e,Q32_f,Q32_g,Q32_h,Q32_i,Q32_j,Q32_k,Q33,Q33_Refused,Q34,Q34_Refused,Q35_a,Q35_b,Q35_c,Q35_d,Q35_e,Q35_f,Q35_g,Q35_h,Q35_i,Q35_j,Q36,Q36_Refused,Q37_a,Q37_b,Q37_c,Q37_d,Q37_e,Q37_f,Q37_g,PARTY,PARTY_Text,PARTYLN,IDEO,TP,PPAGE,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPRENT,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK
27,.9624,5,6,1,2,2,6, ,1,1,2,2,1,2,2,1,2,"A little concerned because my privacy will no longer be ""Private"". Many things could happen. One of the major concerns would be Identity Theft.", ,1,1,2,2,3,5,1, ,99,3,3,5,4,5,5,3, ,99,1,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,4,5,2,3,1,1,4,4,5, ,99,1,1,1,2,1,2,2,3, ,1,3,3,35,2,9,2,1,1,0,2,2,8,1,1,1,0,0,0,0,2,7
32,.4689,5,2,1,1,5,1,2,1,1,2,1,1,2,1,1,2,"Although I have nothing to hide, I don't like the idea of the government monitoring communications of law abiding citizens.", ,2,1,4,2,4,3,2,The government being able to target people for their political / religious beliefs and viewpoints.  I just don't like the idea of the government snooping on the communications of law abiding citizens., ,4,4,5,4,4,4,4, , ,2,4,3,3,1,3,3,1,3,1,3,3, ,99,Not wanting my data being tracked or monitored., ,2,2,3,3,1,3,1,3,3,1, ,99,2,2,2,2,2,2,2,1, , ,2,1,47,3,13,4,1,1,1,3,1,16,1,1,1,1,0,0,0,2,7
34,.9714,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,"It could be used for the wrong reasons, and is a general invasion of privacy", ,2,1,2,2,3,3,3,Suppression of free speech, ,3,2,3,4,4,3,3,"Somewhat concerned to look up certain information on search engines, since it may appear suspicious, even if my reason is pure curiosity.", ,3,1,2,2,1,3,2,2,1,2,1,2,none, ,Don't want to trust the government with too much information., ,2,3,3,2,1,1,1,3,4,3, ,99,1,2,2,2,1,2,2,1, , ,2,1,21,1,10,3,1,1,0,4,1,12,5,1,1,0,0,0,1,3,1
38,.1573,1,1,1,2,1,1,2,1,2,3,1,1,1,1,1,2, ,99, ,1,2,3,3,3,3, ,99, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1, , ,3,3,27,1,12,4,5,2,1,2,3,13,6,1,2,0,0,0,0,2,1
40,1.0893,6, ,6,6,99,99, ,99,2,99,99,99,99,99,99,99, ,99, ,2,5,5,5,5,5, , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,99,99,99,99,99,2,3, ,99,3,3,26,1,12,4,1,1,0,1,1,11,5,1,1,0,0,0,0,1,1
42,.5853,1,2,2,99,2,2,2,99,99,99,99,99,99,99,99,99, ,99, ,99,99,99,99,99,99, , , , , , , , , , , ,99, , , , , , , , , , , , , , , , , , , , , , , , , , , ,99,99,99,99,99,99,99,99, ,99,99,99,26,1,10,3,1,1,0,1,1,12,5,1,3,0,0,0,0,1,2
43,.332,6, ,6,6,6,6, ,5,2,2,2,2,1,1,1,3, ,99,2,2,2,1,3,4,99, ,99,99,99,99,99,1,2,99, ,99,3,2,4,3,1,99,4,1,99,2,3,99, ,99, ,99,4,99,5,3,99,1,4,3,5,2, ,99,1,99,2,1,1,1,1,2, , ,3,2,51,3,9,2,1,1,1,4,1,2,1,1,2,0,0,0,0,4,3
45,.407,1,1,3,4,3,6, ,4,1,4,1,1,2,2,2,2,cant, , ,1,3,3,3,3,3, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,2, , ,3,3,56,3,10,3,2,2,0,1,2,7,6,1,1,0,0,0,0,1,2
47,.177,1,1,1,1,4,1,1,2,1,2,2,2,2,2,2,2,"Even tho my communications would put them to sleep, it is eavesdropping and wrong.", ,2,2,2,2,2,2,3,I'm not sure of the ramifications now but I can see a time in the future where it will become important. As we grow in technology it will only become more and more of an issue., ,3,3,4,4,4,3,4,I only change how I use devices when I think about it.....it isn't a big issue in my life right now., ,1,3,3,3,3,3,3,3,3,3,3,3,Once in a while I will try using a private browser, , , ,2,4,4,1,4,4,3,4,4,3, ,99,2,2,2,2,2,2,2,1, , ,1,1,64,4,12,4,1,2,1,2,1,17,1,1,1,0,0,0,0,2,2
51,1.8268,2,3,1,2,6,2,99,2,1,2,1,2,2,2,2,2, ,99,1,1,5,2,2,2,2,Financial, ,5,3,3,3,3,3,3, ,99,2,4,4,4,4,4,2,2,3,2,2,2, ,99,Personal privacy, ,5,4,5,1,5,3,5,3,3,3, ,99,2,2,2,2,2,2,2,2, , ,2,3,29,1,12,4,3,1,1,2,3,12,6,1,1,0,0,0,0,2,1
52,.4964,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"Don't really care, and neither should anybody else if their not doing anything wrong", ,1,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,4,3, , ,1,1,1,1,2,1,1,3, ,2,3,3,36,2,5,1,4,2,0,5,1,8,1,1,1,0,0,1,0,4,7
54,.6613,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2, ,99,2,1,1,2,1,1,1, ,99,1,1,5,1,1,1,1, ,99,2,1,1,1,1,1,1,1,1,1,1,1, ,99, ,99,1,2,2,2,2,2,2,2,2,2, ,99,2,2,1,2,2,2,2,3, ,1,3,3,52,3,9,2,2,2,1,1,3,8,3,1,2,0,0,0,0,1,1
55,3.5797,2,88,5,4,2,2,88,5,1,2,1,1,1,1,1,3,maybe it will help keep up with terriost, ,1,2,3,4,3,3,3, , ,4,4,4,4,4,4,4, , ,4,3,3,3,3,3,3,3,3,3,3,3,nothing I can think of, , , ,3,4,3,3,4,3,3,4,4,3, , ,1,1,1,1,1,1,1,2, , ,2,3,65,4,8,1,1,2,0,2,1,3,3,0,2,0,0,0,0,2,6
56,.3865,1,1,1,3,2,1,1,2,1,2,1,1,1,1,1,3,Most people are rather average and are not at home planning world domination and I have nothing to hide so I don't worry about it. I like to think that if there is some person planning something horrible then maybe the monitoring will help stop it., ,2,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3,I have just livedy life the same way I lived before. I'm a single mom from Iowa I'm her 40s. There isn't anything about my life that is interesting enough for someone to even listen to and I'm very open so I'm not sitting telling ton of secrets so I haven't changed at all., , , ,3,3,3,3,3,4,3,4,4,3, , ,1,1,1,1,1,1,2,3, ,2,4,3,40,2,10,3,1,2,1,3,3,4,3,1,2,0,0,0,1,2,6
57,.5317,1,1,2,4,4,3,2,4,1,3,1,1,2,1,1,3,Privacy, , ,1,3,3,2,3,2,It's my right to be privacy, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,2, , ,5,3,21,1,9,2,4,1,0,7,1,7,5,1,2,0,1,2,0,4,4
58,1.2656,2,6,2,3,6,6, ,3,2,1,1,2,2,1,2,1,freedom of rights. if in the event i do something unacceptable to the govt or country they have the right to investigate me otherwise they are taking away my privacy as an american citizen, ,2,2,1,1,1,1,1, ,99,5,4,4,4,5,5,4, , ,1,4,4,4,4,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,4,5,5,4,3, , ,1,2,1,1,99,99,1,3, ,1,2,3,85,4,9,2,1,1,1,2,1,13,1,1,1,0,0,0,0,2,5
61,.6736,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2, ,99,2,1,2,1,2,1,1,"I do not mind collecting the data, the data will be collected.  I have concerns regarding access to the data.", ,3,4,4,4,4,4,4,I do not share much on social media to avoid the possibility of misunderstanding and distraction., ,2,3,1,1,1,1,3,1,1,3,3,1, ,99,Made changes to avoid distractions and wasting time, ,3,3,3,3,3,3,1,3,3,3,To utilize time more efficiently, ,1,1,2,2,1,2,2,3, ,1,3,3,64,4,10,3,1,1,1,3,1,16,1,1,1,0,0,0,0,3,2
62,.4455,1,1,6,1,2,2,2,2,2,2,2,2,2,1,1,4,na, ,2,2,5,5,5,5,1,na, ,2,2,2,2,2,5,5,na, ,3,4,4,4,4,4,4,4,4,4,4,4,na, , , ,5,5,5,5,5,5,5,5,5,5, , ,2,2,2,2,2,2,2,1, , ,3,2,40,2,9,2,1,1,1,1,3,4,5,1,2,0,0,0,0,1,2
68,1.1043,2,6,1,1,6,2,2,3,1,1,1,1,1,1,1,3, ,99,1,1,5,4,4,4,4, , ,5,4,4,4,5,5,4, , ,2,4,4,4,4,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,2,1,3, ,2,4,2,75,4,14,4,2,1,1,2,3,17,1,1,2,0,0,0,0,2,2
70,.285,1,2,1,1,1,2,3,2,1,1,1,2,2,1,1,3,"While I am concerned about a rogue employee using the system for personal reasons, I am not concerned that someone is actually reading my communications, just monitoring the basic info in aggregate looking for patterns that would lead to more intense scrutiny.", ,1,2,4,4,4,4,4, , ,4,4,5,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,2,2,2, , ,4,2,35,2,13,4,1,2,1,4,1,18,1,1,2,0,2,0,0,2,7
72,1.1001,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,2,My concern is for those people who are not involved in any criminal activity, ,1,1,2,2,1,3,2,Personal information being looked at, ,2,2,2,2,2,3,2,Expose less personal information, ,3,1,1,2,3,2,3,3,3,3,3,3, ,99, ,99,2,4,4,1,3,3,2,3,3,99, ,99,1,1,1,1,1,1,1,2, , ,3,2,43,2,12,4,3,2,1,3,1,13,1,1,1,0,1,0,0,2,7
73,.9859,1,4,1,3,3,6, ,3,1,1,1,1,2,1,1,3,"Given the vast amount of information entailed in such surveillance, only a key-word filter could be used, rather than live monitors listening in to every conversation and analyzing data transfer.

Simply put: There is too much information for the government to possibly listen in to individuals unless they had reason to target individuals.", ,1,1,4,4,4,5,4, , ,4,4,4,4,4,5,4, , ,1,3,3,3,3,3,3,4,4,3,3,3,No changes, , , ,3,3,3,3,3,3,3,3,3,3, , ,1,2,1,2,1,1,2,1, , ,2,1,58,3,9,2,1,1,1,3,1,10,1,1,2,0,0,0,0,3,1
74,.992,1,1,1,1,2,3,2,2,1,2,1,1,1,1,1,2, ,99,1,1,2,2,3,2,2, ,99,3,3,4,3,2,3,2,I don't know, ,2,2,3,2,2,3,3,2,2,2,1,3,I don't know, ,Maturity, ,3,2,3,3,4,2,3,3,4,3,Fraud, ,1,2,1,1,1,1,1,2, , ,3,2,40,2,13,4,4,2,1,4,1,15,5,1,1,0,0,0,2,2,1
76,1.4093,3,3,1,1,3,4,2,1,1,2,1,1,1,1,1,4, ,99,1,2,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,3,3,4,3,3,4,3,3,3,3,3,3, ,99, , ,3,4,3,3,4,3,3,3,3,3, , ,1,2,1,1,1,1,1,2, , ,3,3,29,1,9,2,2,2,0,3,4,5,1,1,1,0,1,0,0,2,7
79,.9396,1,1,2,3,3,3,2,3,2,2,1,1,1,1,1,1,Sharing my personal information with other without my permission., ,1,1,1,1,1,1,1,I am concerned that my personal information are been monitored by the government and share with unauthorized site without  asking or requesting permission for us. I really don't have anything to hide nor am will authorize this service to the government if asked. I don't want to share my search with them for them to know my personal life., ,1,1,1,1,1,1,1,"I will watch what I post,where I post it and to whom I share my information with on any electronic media going forward.", ,3,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,1,1,1,1,1,1,1,1,1,1, ,99,2,2,2,2,2,2,2,2, , ,2,1,44,2,11,3,2,1,1,4,1,16,1,1,1,0,0,2,0,2,1
80,.1844,1,3,1,1,1,1,2,2,2,1,2,1,2,2,2,2,"It seems to be an invasion of privacy without any checks and balances.  Now if the government had probable cause and had to obtain permission, that would be a different story.  But for the government to act unchecked itself is an abuse of power. Just because they can doesn't mean they should.", ,2,1,3,2,3,3,2,"History has shown that the government doesn't always act with the best interests of its citizens and has jumped to painfully wrong conclusions.  Also, government officials giving way to fear mongering to placate a panicked public audience does little to serve the country as a whole.  It happened with McCarthiasm.  And the Chinese Internment Camps.  Even after 911 - there is fear of Muslims or a mosque because of our own ignorance.  So my concern is the government may be on one of its tangents and targeting innocent people and adopting its act first and punish and then maybe down the road say ""mea culpa"".", ,3,3,3,3,3,3,3,Haven't really changed anything - just more aware., ,3,2,2,2,1,1,3,3,3,3,3,1,I've made more of an effort to have personal conversations in general  - not as a result of the monitoring program.  I am subtly aware though if I'm communicating on line that it may be monitored - like answering this survey., ,See previous answers., ,2,4,3,1,3,3,1,3,4,3,I think it's more important to do what can to protect oneself - not just from the government but also hackers., ,2,2,2,2,2,2,2,2, , ,4,2,48,3,13,4,1,2,0,2,2,7,6,1,1,0,0,0,0,2,1
81,1.9679,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,"The government isn't performing targeted surveillance, they are passively gathering information from everywhere.. this includes information from people suspect of no crime, and they save it for undisclosed amounts of time", ,2,2,2,1,1,1,1,"American citizens have a right to privacy, and the government completely ignores this with its passive data collection.. they should only be monitoring people actually suspected of crime, as authorized by a court", ,3,2,5,3,2,3,2,"Started using electronic communication less in general, and conducting personal business face to face when possible", ,4,3,3,2,1,3,2,1,1,3,3,1, ,99,Just knowing that everything is being gathered and saved made me think more carefully about what I say online, ,2,2,2,1,3,1,1,2,3,2,"With everything we say/post online being recorded, it is best to choose your words carefully", ,1,2,2,2,2,2,2,3, ,1,4,1,34,2,10,3,4,1,1,3,1,14,1,1,1,0,1,0,0,2,7
83,.129,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,3,I'd rather have our country be safe, ,2,1,3,3,3,3,3, , ,4,4,4,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,4,4,3, , ,1,1,1,1,1,1,1,2, , ,3,2,27,1,12,4,1,2,1,3,1,14,1,1,1,0,1,0,0,2,1
84,.4483,1,1,1,1,4,3,3,1,1,2,2,1,2,1,1,2,"Because those of us who were born && raised in this country have never done anything to harm America, it's those from outside the U.S. that have come here, live tax-free and send the money back home to their country(s), and it seems more times than not it's that money that's used to fund terrorist activity.", ,2,2,4,3,2,2,2,"I'm not concerned about them finding anything, just their invasion of my privacy.", ,4,4,5,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,1,1,2, , ,2,2,51,3,10,3,2,1,1,5,2,8,1,1,2,0,0,2,1,2,1
85,.6125,1,2,1,1,1,1,3,3,1,4,2,2,2,2,2,4,Because there's nothing I can do about it so why should I worry, , ,2,3,3,3,3,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,99,1,2,1,2,4,None,99,3,3,31,2,9,2,4,2,0,5,2,10,1,1,2,0,2,1,0,2,7
86,.7222,4,6,1,1,3,6, ,1,2,1,2,2,2,2,2,1,"The American Government has has proven itself to be totally unreliable and untrustworthy, and simply can't  be relied on to do what is right for American people.  With so much corruption in Government we basically no longer have a democracy.", ,2,2,1,1,1,5,1,"Persecution of innocent citizen, and the loss of our democracy.", ,5,3,3,2,5,5,2,"I am very careful to not criticize public officials, because of the possibility of being punished by a totalitarian government sometime in the near or distant future.", ,4,2,1,1,2,2,1,3,1,1,1,3,I am very careful how I word e-mail., ,Because our Government is totally untrustworthy and have already made people suffer for using their right to freedom of speach., ,4,4,4,1,4,4,4,4,4,4, ,99,1,2,1,1,1,2,2,3, ,1,2,1,78,4,10,3,1,1,1,1,1,10,4,1,1,0,0,0,0,1,5
87,1.0113,1,1,1,1,4,1,2,1,1,2,1,1,2,2,2,3,"My understanding is that the data collected was mostly metadata. Not really personal information or communications. I'm not worried about this level of surveillance if it helps catch bad guys. If it were just for the sake of knowing who we call, that would be unacceptable.", ,99,1,3,3,2,2,2,"probably nothing, but it could lead to a precedent of power in attaching surveillance to ordinary citizens. Wouldn't want to go down that road with absolute necessity.", ,4,4,4,4,4,4,4, , ,1,3,3,3,3,3,3,2,2,3,1,3,I would not be a threat to national security. My communications are very benign., ,"Wouldn't say I changed, just continued to not search for bomb making instructions or child pornography.", ,2,3,3,1,2,3,3,3,3,3,Really just a matter of not downloading an app without finding out if it was safe or removing an app I found out was questionable. 

Password complexity has been driven mostly by websites where I have accounts asking me to update my passwords and make them more complex., ,2,2,2,2,2,2,2,3, ,2,3,2,46,3,11,3,1,1,1,3,1,9,1,1,1,0,0,0,1,2,6
89,.5499,1,3,1,1,5,3,1,2,2,1,1,1,1,1,1,4,If it stops crime it worth it.  They have so much data they be reading everything, ,1,1,5,4,4,4,4, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3,None, , , ,3,3,3,3,3,3,5,3,3,3, , ,1,1,1,1,1,1,1,1, , ,2,3,51,3,12,4,1,1,1,1,1,15,5,1,1,0,0,0,0,1,1
92,.3998,4,6,3,4,2,6, ,3,1,1,1,2,2,1,2,2,some thing should be private, ,2,2,3,3,3,5,4, , ,4,4,4,4,5,5,4, , ,3,3,4,3,1,3,3,4,4,3,3,1,none, ,I haven't change anything, ,4,3,3,1,3,3,2,3,3,3,no, ,1,1,1,1,1,1,1,1, , ,2,3,77,4,9,2,1,1,1,2,1,9,1,1,1,0,0,0,0,2,5
94,.6228,2,2,2,2,2,2,3,2,1,2,1,1,1,1,1,3,Terrorists have necessitated surveillance of all in order to find the few who are threats, ,1,1,3,3,3,3,3, , ,3,3,3,3,3,3,3,I did not change any behavior, ,2,4,4,3,3,3,3,3,3,3,3,3,none, , , ,5,5,5,5,5,5,5,5,5,5, , ,1,1,1,1,1,1,1,2, , ,3,2,44,2,4,1,4,1,1,6,2,16,1,1,1,0,0,1,1,4,1
95,2.2802,5,6,3,3,5,6, ,5,1,2,1,1,2,2,1,2,I don't trust them, ,2,2,1,1,3,3,2,Privacy, ,4,4,4,4,5,5,4, , ,4,3,3,3,3,3,4,4,4,4,4,4,none, , , ,3,3,5,3,5,3,3,3,3,3, , ,1,1,1,1,1,1,1,1, , ,2,3,55,3,3,1,4,2,1,2,1,10,1,1,1,0,0,0,0,2,5
96,1.0351,1,2,1,1,1,2,2,4,1,2,1,1,1,1,1,3,Law-abiding citizens have nothing to hide and should not be concerned., ,1,1,3,3,3,3,3, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3,I have not made any other changes., , , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,2,2,2, , ,4,2,42,2,9,2,1,1,1,1,3,13,5,1,2,0,0,0,0,1,1
97,.3789,4,6,1,4,6,6, ,4,1,1,1,2,2,2,2,1,"The government has no business spying on their citizens, unless they are terrorist.", ,2,2,1,2,2,2,2,The government is infringing on my rights as an American citizen., ,4,4,4,4,4,4,4, , ,3,2,3,1,2,3,3,3,3,3,3,2, ,99, ,99,3,3,3,3,3,3,3,3,3,3, , ,1,2,1,1,1,2,1,3, ,1,3,2,65,4,12,4,1,1,1,3,1,14,1,1,1,1,0,0,0,2,6
98,.4881,1,6,2,3,6,6, ,4,1,2,1,2,2,2,2,2, ,99,2,1,5,4,3,4,4, , ,5,4,4,4,5,5,5, , ,3,4,4,4,4,4,3,3,3,3,3,3, ,99, , ,5,4,4,2,5,5,5,5,5,5, ,99,1,1,1,1,1,1,2,1, , ,99,2,77,4,9,2,1,2,0,1,1,6,2,0,2,0,0,0,0,1,5
100,.5193,1,4,1,1,2,1,1,1,2,1,1,1,2,2,2,1,Bill of rights infringement, ,1,1,2,2,1,1,1,"I.d. theft, lack of privacy", ,4,4,4,4,4,4,4, , ,3,2,2,2,2,2,2,2,2,2,2,2,None, ,Concern over potential lack of privacy, ,2,2,2,1,2,2,2,2,1,2,Concern over lack of privacy, ,1,1,1,1,1,1,1,3, ,2,4,3,71,4,13,4,3,1,1,2,1,17,1,1,1,0,0,0,0,2,2
